index,lon,lat
86547,-106.75,29.75
86548,-106.25,29.75
86549,-105.75,29.75
86550,-105.25,29.75
86551,-104.75,29.75
86552,-104.25,29.75
86553,-103.75,29.75
86554,-103.25,29.75
86555,-102.75,29.75
86556,-102.25,29.75
86557,-101.75,29.75
86558,-101.25,29.75
86559,-100.75,29.75
86560,-100.25,29.75
86561,-99.75,29.75
86562,-99.25,29.75
86563,-98.75,29.75
86564,-98.25,29.75
86565,-97.75,29.75
86566,-97.25,29.75
86567,-96.75,29.75
86568,-96.25,29.75
86569,-95.75,29.75
86570,-95.25,29.75
86571,-94.75,29.75
86572,-94.25,29.75
86573,-93.75,29.75
86574,-93.25,29.75
86575,-92.75,29.75
86576,-92.25,29.75
86577,-91.75,29.75
86578,-91.25,29.75
86579,-90.75,29.75
86580,-90.25,29.75
86581,-89.75,29.75
86582,-89.25,29.75
86583,-88.75,29.75
86584,-88.25,29.75
86585,-87.75,29.75
86586,-87.25,29.75
86587,-86.75,29.75
86588,-86.25,29.75
86589,-85.75,29.75
86590,-85.25,29.75
87181,-149.75,29.25
87182,-149.25,29.25
87183,-148.75,29.25
87184,-148.25,29.25
87185,-147.75,29.25
87186,-147.25,29.25
87187,-146.75,29.25
87188,-146.25,29.25
87189,-145.75,29.25
87190,-145.25,29.25
87191,-144.75,29.25
87192,-144.25,29.25
87193,-143.75,29.25
87194,-143.25,29.25
87195,-142.75,29.25
87196,-142.25,29.25
87197,-141.75,29.25
87198,-141.25,29.25
87199,-140.75,29.25
87200,-140.25,29.25
87201,-139.75,29.25
87202,-139.25,29.25
87203,-138.75,29.25
87204,-138.25,29.25
87205,-137.75,29.25
87206,-137.25,29.25
87207,-136.75,29.25
87208,-136.25,29.25
87209,-135.75,29.25
87210,-135.25,29.25
87211,-134.75,29.25
87212,-134.25,29.25
87213,-133.75,29.25
87214,-133.25,29.25
87215,-132.75,29.25
87216,-132.25,29.25
87217,-131.75,29.25
87218,-131.25,29.25
87219,-130.75,29.25
87220,-130.25,29.25
87221,-129.75,29.25
87222,-129.25,29.25
87223,-128.75,29.25
87224,-128.25,29.25
87225,-127.75,29.25
87226,-127.25,29.25
87227,-126.75,29.25
87228,-126.25,29.25
87229,-125.75,29.25
87230,-125.25,29.25
87231,-124.75,29.25
87232,-124.25,29.25
87233,-123.75,29.25
87234,-123.25,29.25
87235,-122.75,29.25
87236,-122.25,29.25
87237,-121.75,29.25
87238,-121.25,29.25
87239,-120.75,29.25
87240,-120.25,29.25
87241,-119.75,29.25
87242,-119.25,29.25
87243,-118.75,29.25
87244,-118.25,29.25
87245,-117.75,29.25
87246,-117.25,29.25
87247,-116.75,29.25
87248,-116.25,29.25
87249,-115.75,29.25
87250,-115.25,29.25
87251,-114.75,29.25
87252,-114.25,29.25
87253,-113.75,29.25
87254,-113.25,29.25
87255,-112.75,29.25
87256,-112.25,29.25
87257,-111.75,29.25
87258,-111.25,29.25
87259,-110.75,29.25
87260,-110.25,29.25
87261,-109.75,29.25
87262,-109.25,29.25
87263,-108.75,29.25
87264,-108.25,29.25
87265,-107.75,29.25
87266,-107.25,29.25
87267,-106.75,29.25
87268,-106.25,29.25
87269,-105.75,29.25
87270,-105.25,29.25
87271,-104.75,29.25
87272,-104.25,29.25
87273,-103.75,29.25
87274,-103.25,29.25
87275,-102.75,29.25
87276,-102.25,29.25
87277,-101.75,29.25
87278,-101.25,29.25
87279,-100.75,29.25
87280,-100.25,29.25
87281,-99.75,29.25
87282,-99.25,29.25
87283,-98.75,29.25
87284,-98.25,29.25
87285,-97.75,29.25
87286,-97.25,29.25
87287,-96.75,29.25
87288,-96.25,29.25
87289,-95.75,29.25
87290,-95.25,29.25
87291,-94.75,29.25
87292,-94.25,29.25
87293,-93.75,29.25
87294,-93.25,29.25
87295,-92.75,29.25
87296,-92.25,29.25
87297,-91.75,29.25
87298,-91.25,29.25
87299,-90.75,29.25
87300,-90.25,29.25
87301,-89.75,29.25
87302,-89.25,29.25
87303,-88.75,29.25
87304,-88.25,29.25
87305,-87.75,29.25
87306,-87.25,29.25
87307,-86.75,29.25
87308,-86.25,29.25
87309,-85.75,29.25
87310,-85.25,29.25
87901,-149.75,28.75
87902,-149.25,28.75
87903,-148.75,28.75
87904,-148.25,28.75
87905,-147.75,28.75
87906,-147.25,28.75
